"SKU","Shape","Carat","Color","Clarity","Cut","Polish","Symmetry","Fluorescence","Lab","Certificate No","Certificate URL","Price","Price Per Carat","depth Percentage","table Percentage","length","width","depth","image","video","CrownAngle","CrownHeight","PavilionAngle","PavilionDepth","eyeclean"
"4785","EMERALD","0.18","D","VS1","","VG","VG","FNT","GIA","1419338680","","202.02","1122.33","65","64","2.77","3.75","1.8","","https://www.pkstone.co.in/dv.aspx?vstr=653802202","","","","","Yes"
"4934","ROUND","0.17","E","VVS1","EX","EX","VG","VST","IGI","497178645","https://www.igi.org/viewpdf.php?r=497178645","280.88","1652.24","58.1","58.5","3.66","3.71","2.14","","","32","13","40.2","42","Yes"
"5240","EMERALD","0.18","D","VS1","","GD","GD","MED","GIA","6415932607","","197.16","1095.33","70.7","61","2.71","3.69","1.92","","https://www.pkstone.co.in/dv.aspx?vstr=657502202","","","","","Yes"
"5350","EMERALD","0.18","D","VS2","","VG","VG","NON","GIA","1418980981","","211.2","1173.33","67.5","62","2.67","3.84","1.8","","https://www.pkstone.co.in/dv.aspx?vstr=657801702","","","","",""
"5609","RADIANT","0.18","D","VS2","","VG","GD","FNT","GIA","7421135428","","212.82","1182.33","70.8","66","2.92","3.64","2.06","","https://www.pkstone.co.in/dv.aspx?vstr=659101002","","","","",""
"5663","EMERALD","0.18","D","VS2","","VG","VG","NON","GIA","1428135784","","217.32","1207.33","65.6","65","2.81","3.74","1.85","","https://www.pkstone.co.in/dv.aspx?vstr=659007902","","","","",""
"5665","EMERALD","0.18","D","VS1","","VG","VG","FNT","GIA","1425233855","","210.12","1167.33","63.8","62","2.8","3.84","1.79","","https://www.pkstone.co.in/dv.aspx?vstr=659010102","","","","","Yes"
"6573","ROUND","0.17","D","VVS2","VG","EX","VG","NON","IGI","480160639","https://www.igi.org/viewpdf.php?r=480160639","207.95","1223.24","58.7","64","3.59","3.61","2.11","","","31.2","11","41.1","43.5","Yes"
"6597","ROUND","0.17","F","VVS2","VG","EX","EX","VST","IGI","480160644","https://www.igi.org/viewpdf.php?r=480160644","212.2","1248.24","56.5","64","3.68","3.71","2.09","","","30.1","10.5","40.8","43","Yes"
"8822","ROUND","0.18","D","VS2","EX","EX","VG","NON","GIA","1438283196","","263.22","1462.33","59.5","61","3.66","3.69","2.19","","","33","12.5","41","43.5",""
