stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Price Per Carat,Depth %,Table %,Country,State,City,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Shade,Milky,Eye Clean,Treatment,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Comment,Key to symbols,fancy color,Fancy Color Intensity,Fancy Color Overtone,Certificate File,Diamond Video,Diamond Image,Heart Image,Arrow Image,Asset Image
KCV0175,Available,EMERALD,2.010,D,VS2,,EX,EX,N,,8.31X5.83X3.92,IGI,464110025,34133.75,67.20,58.00,India,MH,Mumbai,17.00,20.40,46.00,40.80,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0175,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0175,,,
KCV0457,Available,RADIANT,1.030,D,SI1,,EX,EX,N,,6.88X4.96X3.38,IGI,478126148,12678.25,68.10,61.50,India,MH,Mumbai,14.50,39.60,49.00,31.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0457,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0457,,,
KCV0569,Available,ROUND,1.130,D,VS1,ID,EX,EX,N,,6.64X6.68X4.16,IGI,480173904,26858.85,62.40,55.50,India,MH,Mumbai,15.00,33.50,43.50,41.20,,,,,,,,,NN,,H&A,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0569,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0569,,,
KCV0652,Available,ROUND,1.400,D,SI1,ID,EX,EX,N,,7.14X7.20X4.43,IGI,496117793,18577.25,61.80,57.00,India,MH,Mumbai,15.00,34.80,43.00,40.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0652,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0652,,,
KCV0667,Available,PRINCESS,1.730,D,VS2,,EX,EX,N,,6.52X6.37X4.56,IGI,496117919,24000.2,71.60,70.50,India,MH,Mumbai,11.00,42.10,55.50,38.00,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0667,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0667,,,
KCV0674,Available,RADIANT,1.530,D,SI1,,EX,EX,N,,7.64X5.62X3.86,IGI,496117921,21477.5,68.70,62.50,India,MH,Mumbai,15.00,40.00,49.50,29.00,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0674,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0674,,,
KCV0707,Available,CUSHION,2.050,E,SI2,,EX,EX,N,,7.63X7.34X4.80,IGI,496117887,22235.7,65.40,61.50,India,MH,Mumbai,12.50,33.40,48.00,38.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0707,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0707,,,
KCV0711,Available,RADIANT,1.560,D,SI1,,EX,EX,N,,7.88X5.75X3.63,IGI,496117891,21477.5,63.10,63.50,India,MH,Mumbai,12.50,39.80,45.50,26.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0711,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0711,,,
KCV0721,Available,RADIANT,1.520,D,VS2,,EX,EX,N,,7.82X5.65X3.70,IGI,496117896,24223.4,65.50,67.00,India,MH,Mumbai,11.50,39.50,49.00,28.80,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0721,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0721,,,
KCV0725,Available,CUSHION,2.010,E,SI1,,EX,EX,N,,7.34X7.27X4.71,IGI,496117898,27502.05,64.80,58.50,India,MH,Mumbai,14.50,35.50,42.50,37.00,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0725,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0725,,,
