Stock ,AVAILABILTY,Shape,Weight,Color,Clarity,Cut Grade,polish,Symmetry,Fluorescence Intensity,Fluorescence Color,length,width,height,Lab,Certificate ,$/ct,Rap,Rap Discount,Total Price,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Depth Percent,Table Percent,Girdle Thin,Girdle Thick,Girdle percent,Girdle Condition,Culet size(culet),Culet Condition,Crown Height,Crown Angle,Pavilion Hight,Pavilion Angle,City,Country,Diamond Image,Video,Heart image,Arrow Image,Aset Image,Key to symbols,Report Comments,Shade,Luster,Milky,Eye Clean,Treatment,Supplier Comment,Certificate Url
J-4,YES,ROUND,2.03,F,VS1,EXCELLENT,EXCELLENT,EXCELLENT,NONE,,8.03,8.07,5.03,IGI,455015945,623.7,21000,-97.03,1266.111,,,,62.5,55,,,,,,,16.5,36.3,42,40.2,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J14-13,YES,ROUND,2.11,G,VVS2,EXCELLENT,EXCELLENT,EXCELLENT,NONE,,8.11,8.13,5.12,IGI,474106456,608.85,20500,-97.03,1284.6735,,,,63,55,,,,,,,16.5,36.2,42.5,40.3,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J14-3,YES,ROUND,2.12,G,VS1,IDEAL,EXCELLENT,EXCELLENT,NONE,,8.19,8.21,5.07,IGI,474108266,549.45,18500,-97.03,1164.834,,,,61.8,55.5,,,,,,,15.5,35,42,40.1,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J14-9,YES,ROUND,2.15,G,VS2,IDEAL,EXCELLENT,EXCELLENT,NONE,,8.21,8.26,5.05,IGI,474108267,490.05,16500,-97.03,1053.6075,,,,61.3,58,,,,,,,15,35.37,42.5,40.2,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J14-12,YES,ROUND,2.31,G,VS1,IDEAL,EXCELLENT,EXCELLENT,NONE,,8.49,8.54,5.16,IGI,474106453,549.45,18500,-97.03,1269.2295,,,,60.5,57.5,,,,,,,14.5,34.5,42,40.1,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J5-3,YES,ROUND,2.39,H,VVS2,IDEAL,EXCELLENT,EXCELLENT,NONE,,8.55,8.6,5.29,IGI,467154490,519.75,17500,-97.03,1242.2025,,,,61.7,55,,,,,,,16,35.6,42.5,40.2,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J14-11,YES,ROUND,2.41,F,VS2,IDEAL,EXCELLENT,EXCELLENT,NONE,,8.65,8.71,5.24,IGI,474137967,534.6,18000,-97.03,1288.386,,,,60.4,57,,,,,,,15,35,42,40.3,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J9-4,YES,ROUND,2.41,F,VS1,IDEAL,EXCELLENT,EXCELLENT,NONE,,8.62,8.67,5.3,IGI,470119645,623.7,21000,-97.03,1503.117,,,,61.3,53,,,,,,,16.5,35.1,41.5,39.8,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J8-4,YES,ROUND,2.6,G,SI2,IDEAL,EXCELLENT,EXCELLENT,NONE,,8.80,8.86,5.43,IGI,472175152,347.49,11700,-97.03,903.474,,,,61.5,55,,,,,,,16.5,36.2,42,40,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J11-2,YES,ROUND,2.61,G,VS1,IDEAL,EXCELLENT,EXCELLENT,NONE,,8.90,8.95,5.31,IGI,470117384,549.45,18500,-97.03,1434.0645,,,,59.6,58.5,,,,,,,13.5,33.1,42,40.2,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J14-19,YES,ROUND,2.67,G,VS1,VERY GOOD,EXCELLENT,EXCELLENT,NONE,,8.93,9,5.36,IGI,474137966,549.45,18500,-97.03,1467.0315,,,,59.8,59.5,,,,,,,14,34.6,42,40.2,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J3-1,YES,ROUND,2.83,G,VS2,EXCELLENT,EXCELLENT,EXCELLENT,NONE,,9.24,9.28,5.35,IGI,472173953,490.05,16500,-97.03,1386.8415,,,,57.8,60,,,,,,,12,31.2,42,40,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J3 - 5,YES,ROUND,3,H,VS1,EXCELLENT,EXCELLENT,EXCELLENT,NONE,,9.15,9.18,5.69,IGI,464199156,697.95,23500,-97.03,2093.85,,,,62.1,56,,,,,,,16.5,36.6,42,39.9,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J4-11,YES,ROUND,3,F,VVS2,IDEAL,EXCELLENT,EXCELLENT,NONE,,9.16,9.23,5.75,IGI,468104695,1098.9,37000,-97.03,3296.7,,,,62.6,55.5,,,,,,,16.5,36.1,42,40.3,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J3-2,YES,ROUND,3,G,VS1,EXCELLENT,EXCELLENT,EXCELLENT,NONE,,9.31,9.34,5.66,IGI,468104702,831.6,28000,-97.03,2494.8,,,,60.7,53.5,,,,,,,16,34.5,41.5,39.7,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J9-03,YES,ROUND,3.01,F,VS2,IDEAL,EXCELLENT,EXCELLENT,NONE,,9.41,9.47,5.48,IGI,468104707,846.45,28500,-97.03,2547.8145,,,,61.1,60.5,,,,,,,12.5,32,42,40,,INDIA,,VIDEO,,,,,,,,,,CVD,,
76.38,YES,ROUND,3.05,G,VS1,EXCELLENT,EXCELLENT,EXCELLENT,NONE,,9.37,9.43,5.7,IGI,472173952,831.6,28000,-97.03,2536.38,,,,60.7,55,,,,,,,16,35.2,42,40.1,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J6-8,YES,ROUND,3.12,F,VS1,IDEAL,VERY GOOD,EXCELLENT,NONE,,9.47,9.53,5.62,IGI,468104708,965.25,32500,-97.03,3011.58,,,,59.1,58.5,,,,,,,14.5,34.6,42,40,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J5-1,YES,EMERALD,3.17,G,VS2,,EXCELLENT,EXCELLENT,NONE,,9.89,6.81,4.56,IGI,468183323,608.85,20500,-97.03,1930.0545,,,,67,67,,,,,,,14,30.7,49.5,39.4,,INDIA,,VIDEO,,,,,,,,,,CVD,,
D-23,YES,EMERALD,4.22,E,VVS2,,EXCELLENT,EXCELLENT,NONE,,10.56,7.63,5.11,IGI,457087587,1217.7,41000,-97.03,5138.694,,,,67,65.5,,,,,,,15,28.4,50,39.1,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J12-7,YES,CUSHION,3.51,G,VS2,,EXCELLENT,EXCELLENT,NONE,,8.57,8.06,5.57,IGI,470129784,608.85,20500,-97.03,2137.0635,,,,69.1,58,,,,,,,14.5,34.8,49.5,31.2,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J10-2,YES,OVAL,2.02,H,VS1,,EXCELLENT,EXCELLENT,NONE,,9.92,6.98,4.47,IGI,472173954,516.1,13000,-96.03,1042.522,,,,64,55.5,,,,,,,16,35.9,42.5,39.9,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J4-2,YES,OVAL,2.15,F,VVS2,,EXCELLENT,EXCELLENT,NONE,,10.11,7.3,4.6,IGI,468181055,714.6,18000,-96.03,1536.39,,,,63,59,,,,,,,15,36.5,43.5,40.2,,INDIA,,VIDEO,,,,,,,,,,CVD,,
j3-9,YES,OVAL,3,H,VS1,,EXCELLENT,EXCELLENT,NONE,,11.26,8.09,5,IGI,467151940,794,20000,-96.03,2382,,,,61.8,58,,,,,,,16,37.7,39.5,38,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J12-2,YES,OVAL,3.14,G,VS1,,EXCELLENT,EXCELLENT,NONE,,11.91,8.32,5.01,IGI,470129789,893.25,22500,-96.03,2804.805,,,,60.2,56,,,,,,,15,34.2,42,39.7,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J10-4,YES,OVAL,3.26,G,VVS2,,EXCELLENT,EXCELLENT,NONE,,11.82,8.33,5.03,IGI,470129787,992.5,25000,-96.03,3235.55,,,,60.4,61,,,,,,,13,34,42,39.3,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J12-3,YES,PEAR,2.13,G,VVS2,,EXCELLENT,EXCELLENT,NONE,,11.51,7.2,4.49,IGI,470119643,655.05,16500,-96.03,1395.2565,,,,62.4,59,,,,,,,14,34.7,44.5,41,,INDIA,,VIDEO,,,,,,,,,,CVD,,
J11-4,YES,PEAR,3.05,F,VS1,,EXCELLENT,EXCELLENT,NONE,,12.58,8.14,4.9,IGI,470131466,992.5,25000,-96.03,3027.125,,,,60.2,56.5,,,,,,,15.5,35.4,40.5,38.7,,INDIA,,VIDEO,,,,,,,,,,CVD,,
DC-11,YES,PRINCESS,2.01,H,SI1,,EXCELLENT,EXCELLENT,NONE,,7.03,6.91,4.4,IGI,497174839,440.67,11100,-96.03,885.7467,,,,63.7,66.5,,,,,,,12,40.1,47.5,33.5,,INDIA,,VIDEO,,,,,,,,,,CVD,,
DC-8,YES,PRINCESS,2.02,G,VS2,,EXCELLENT,VERY GOOD,NONE,,6.99,6.88,4.72,IGI,497178788,575.65,14500,-96.03,1162.813,,,,68.6,71,,,,,,,10,41.9,55,37.4,,INDIA,,VIDEO,,,,,,,,,,CVD,,
DC-14,YES,PRINCESS,2.03,E,VS1,,EXCELLENT,EXCELLENT,NONE,,7.10,6.95,4.65,IGI,497178786,714.6,18000,-96.03,1450.638,,,,66.9,66.5,,,,,,,11,39.6,52.5,36.2,,INDIA,,VIDEO,,,,,,,,,,CVD,,
DC-18,YES,PRINCESS,2.05,F,VS1,,EXCELLENT,EXCELLENT,NONE,,6.98,6.76,4.6,IGI,497174842,674.9,17000,-96.03,1383.545,,,,68,67,,,,,,,15.5,49.7,48.5,33.7,,INDIA,,VIDEO,,,,,,,,,,CVD,,
